,count,mean,std,min,50%,max
ID,30000.0,15000.5,8660.398374208891,1.0,15000.5,30000.0
LIMIT_BAL,30000.0,167484.32266666667,129747.66156720239,10000.0,140000.0,1000000.0
SEX,30000.0,1.6037333333333332,0.48912919609026045,1.0,2.0,2.0
EDUCATION,30000.0,1.8531333333333333,0.7903486597207291,0.0,2.0,6.0
MARRIAGE,30000.0,1.5518666666666667,0.5219696006132486,0.0,2.0,3.0
AGE,30000.0,35.4855,9.217904068090188,21.0,34.0,79.0
PAY_0,30000.0,-0.0167,1.1238015279973348,-2.0,0.0,8.0
PAY_2,30000.0,-0.13376666666666667,1.1971859730345533,-2.0,0.0,8.0
PAY_3,30000.0,-0.1662,1.1968675684465735,-2.0,0.0,8.0
PAY_4,30000.0,-0.22066666666666668,1.1691386224023375,-2.0,0.0,8.0
PAY_5,30000.0,-0.2662,1.1331874060027483,-2.0,0.0,8.0
PAY_6,30000.0,-0.2911,1.1499876256079027,-2.0,0.0,8.0
BILL_AMT1,30000.0,51223.3309,73635.86057552956,-165580.0,22381.5,964511.0
BILL_AMT2,30000.0,49179.07516666667,71173.76878252835,-69777.0,21200.0,983931.0
BILL_AMT3,30000.0,47013.1548,69349.38742703684,-157264.0,20088.5,1664089.0
BILL_AMT4,30000.0,43262.94896666666,64332.85613391631,-170000.0,19052.0,891586.0
BILL_AMT5,30000.0,40311.40096666667,60797.15577026487,-81334.0,18104.5,927171.0
BILL_AMT6,30000.0,38871.7604,59554.10753674573,-339603.0,17071.0,961664.0
PAY_AMT1,30000.0,5663.5805,16563.280354025766,0.0,2100.0,873552.0
PAY_AMT2,30000.0,5921.1635,23040.87040205724,0.0,2009.0,1684259.0
PAY_AMT3,30000.0,5225.6815,17606.961469803104,0.0,1800.0,896040.0
PAY_AMT4,30000.0,4826.076866666666,15666.159744032007,0.0,1500.0,621000.0
PAY_AMT5,30000.0,4799.387633333334,15278.305679144789,0.0,1500.0,426529.0
PAY_AMT6,30000.0,5215.502566666667,17777.4657754353,0.0,1500.0,528666.0
default payment next month,30000.0,0.2212,0.41506180569093337,0.0,0.0,1.0
